NSA,PI
5945,0016118
5944,0016122
5943,0016123
5942,0016126
5941,0016127
5940,0016128
5939,0016129
5938,0016130
5937,0016166
5936,0016182
5935,0016319
5934,0016347
5933,0016348
5932,0016349
5931,0016350
5930,0016351
5929,0016352
5928,0016356
5927,0016357
5926,0016359
5925,0016362
5924,0016363
5922,0016365
5921,0016386
5920,0016387
5919,0016390
5918,0016410
5917,0016444
5916,0016461
5915,0016464
5914,0016469
5913,0016475
5912,0016476
5911,0016504
5910,0016505
5909,0016506
5908,0016507
5908B,0016507
5907,0016509
5906,0016510
5905,0016512
5904,0016513
5903A,0016514
5903B,0016514
5903C,0016514
5903D,0016514
5902,0016519
5901,0016520
5900,0016521
5899,0016522
5898,0016523
5897,0016524
5896,0016525
5895,0016526
5894,0016527
5893,0016528
5892,0016529
5891,0016530
5890,0016531
5889,0016532
5888,0016564
5887,0016565
5886,0016566
5885,0016567
5884,0016568
5883,0016569
5882,0016570
5881,0016571
5880,0016572
5879,0016573
5878,0016574
5877,0016576
5876,0016577
5875,0016578
5874,0016579
5873,0016580
5872,0016581
5871,0016582
5870,0016583
5869,0016584
5868,0016585
5867,0016586
5866,0016587
5865,0016588
5864,0016589
5863,0016590
5862,0016591
5861,0016592
5860,0016593
5859,0016594
5858,0016595
5857,0016596
5856,0016597
5855,0016598
5854,0016599
5853,0016600
5852,0016601
5851,0016602
5850,0016603
5849,0016604
5848,0016605
5847,0016606
5846,0016607
5845,0016608
5844,0016610
5843,0016611
5842,0016615
5841,0016618
5840,0016618
5839,0016625
5838,0016627
5837,0016628
5836,0016629
5835,0016630
5834,0016631
5833,0016632
5832,0016633
5831,0016634
5830,0016635
5829,0016636
5828,0016637
5827,0016638
5826,0016639
5825,0016792
5824,0016800
5823,0016818
5822,0016829
5821,0016898
5820,0016899
5819,0016920
5818,0016921
5817,0016927
5816,0016928
5815,0016975
5814,0017039
5813,0017040
5812,0017088
5811,0017096
5810,0017114
5809,0017115
5808,0017116
5807,0017121
5806,0017122
5805,0017125
5804,0017125
5803,0017126
5802,0017129
5801,0017138
5800,0017139
5799,0017177
5798,0017182
5797,0017182
5796,0017183
5796B,0017183
5795,0017186
5794,0017187
5793,0017188
5792,0017189
5792B,0017189
5791,0017221
5790,0017222
5789,0017223
5788,0017224
5787,0017225
5786,0017226
5785,0017227
5784,0017228
5783,0017229
5782,0017230
5781A,0017231
5781B,0017231
5781C,0017231
5781D,0017231
5780,0017235
5780B,0017235
5779,0017237
5778,0017238
5777,0017239
5776,0017285
5775,0017387
5774,0017389
5773,0017389
5772,0017392
5771,0017394
5770,0017395
5769,0017396
5768,0017397
5767,0017398
5766,0017399
5765,0017401
5765B,0017401
5764,0017403
5763,0017404
5762,0017405
5761,0017411
5760,0017414
5760B,0017414
5759,0017418
5758,0017419
5757,0017423
5756,0017424
5755,0017425
5754,0017430
5753,0017454
5752,0018009
5751,0017511
5750,0017515
5749,0017517
5748,0017678
5747,0017686
5746,0017694
5745,0017697
5744,0017698
5743,0017718
5742,0017719
5741,0017729
5740,0017730
5739,0017731
5738,0017732
5737,0017733
5736,0017734
5735,0017735
5734,0017736
5733,0017737
5732,0017738
5731,0017739
5730,0017740
5729,0017756
5728,0017769
5727,0017771
5726,0017772
5725,0017773
5724,0017774
5723,0017775
5722,0017776
5721A,0017777
5721B,0017777
5721C,0017777
5721D,0017777
5720,0017782
5719,0017784
5718,0017789
5717,0017804
5716,0017811
5715,0017814
5714,0017815
5714A,0017830
5713,0017830
5712,0017843
5711,0017844
5710,0017845
5709,0017876
5708,0017878
5707,0017919
5706,0017920
5705,0017926
5704,0017927
5703,0017928
5702,0017929
5701,0017930
5700,0017931
5699,0017932
5698,0017933
5697A,0017934
5697B,0017934
5697C,0017934
5697D,0017934
5697E,0017934
5696,0017939
5695,0017940
5694,0017941
5693,0017942
5693B,0017942
5692,0017957
5691,0017959
5690,0017960
5689,0017961
5688,0017962
5687,0017963
5686,0017964
5685,0017965
5684,0017966
5683,0017968
5682,0017975
5681,0017976
5680,0017988
5679,0017993
5678,0017994
5677,0017995
5676,0018185
5675,0017998
5674,0017999
5673,0018022
5672,0018023
5671,0018024
5670,0018025
5669,0018033
5668,0018036
5667,0018042
5666,0018037
5665,0018041
5664,0018051
5663,0018177
5662,0018038
5661A,0018049
5661B,0018049
5660,0018039
5659,0018046
5658,0018050
5658B,0018050
5657,0018048
5656,0018043
5655,0018052
5654,0018047
5653,0018053
5652,0018054
5651,0018055
5650,0018056
5650B,0018056
5650C,0018056
5649,0018060
5648,0018124
5647,0018124
5646,0018173
5645,0018174
5644,0018175
5643,0018182
5642,0018191
5641,0018192
5640,0018193
5639,0018204
5638,0018212
5637,0018221
5636,0018256
5635,0018257
5634A,0018267
5634B,0018267
5633,0018268
5632,0018268
5631,0018269
5630,0018269
5629,0018270
5628,0018270
5627,0018271
5626,0018271
5625,0018272
5624,0018272
5623,0018282
5622,0018298
5622B,0018298
5621,0018302
5621B,0018302
5620,0018304
5620B,0018304
5619,0018312
5618,0018313
5617,0018324
5616,0018325
5615,0018327
5614,0018328
5613,0018329
5612,0018330
5611,0018332
5610,0018343
5609,0018351
5608,0018353
5607,0018354
5606,0018355
5606B,0018355
5605,0018362
5604,0018364
5603,0018367
5602,0018373
5601,0018376
5600,0018377
5599,0018384
5598,0018385
5598B,0018385
5597,0018395
5596,0018399
5595,0019041
5595B,0019041
5594,0019043
5593,0019045
5592,0019048
5591,0019059
5590,0019060
5589,0019061
5588,0019062
5587,0019066
5586,0019067
5585,0019152
5584,0019153
